NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
6.9640625,-1.0808684E+09,8.1696558E+08,18561006.,-10.796684,-11.299446,0.34879908,3.4098640E+10,-5.2997944E+10,-7.6060423E+09,31031.102,29031.338,-473.87982,1.0525431E+11,2.1991460E+10,-5.8269600E+09,-6981.1712,34166.712,871.62465,-1.4858516E+11,-2.2785614E+10,19373725.,4222.0221,-29525.355,0.90335765,-8.0680887E+10,2.2857222E+11,6.7440348E+09,-21961.653,-5946.8782,414.43203,
7.5890625,-1.0814514E+09,8.1635541E+08,18579838.,-10.796034,-11.299498,0.34868662,3.5748794E+10,-5.1392183E+10,-7.6261795E+09,30071.498,30444.268,-270.39504,1.0486134E+11,2.3833183E+10,-5.7790145E+09,-7575.5008,34043.008,904.22299,-1.4834865E+11,-2.4378588E+10,19422459.,4538.8253,-29472.918,0.90157226,-8.1865721E+10,2.2824797E+11,6.7663218E+09,-21920.800,-6062.8261,411.00008,
8.2140625,-1.0820344E+09,8.1574523E+08,18598664.,-10.795378,-11.299531,0.34857409,3.7345460E+10,-4.9710595E+10,-7.6352139E+09,29049.600,31839.317,-62.657205,1.0443633E+11,2.5667947E+10,-5.7293158E+09,-8167.7287,33908.965,936.55816,-1.4809505E+11,-2.5968640E+10,19471094.,4854.9344,-29417.090,0.89972373,-8.3048333E+10,2.2791747E+11,6.7884234E+09,-21879.390,-6178.4800,407.56063,
8.8390625,-1.0826173E+09,8.1513506E+08,18617484.,-10.794714,-11.299547,0.34846155,3.8885240E+10,-4.7954206E+10,-7.6329176E+09,27964.140,33214.205,149.26368,1.0397940E+11,2.7495196E+10,-5.6778783E+09,-8757.6763,33764.618,968.62032,-1.4782440E+11,-2.7555586E+10,19519628.,5170.3136,-29357.882,0.89781233,-8.4228694E+10,2.2758073E+11,6.8103390E+09,-21837.426,-6293.8380,404.11376,
9.4640625,-1.0832002E+09,8.1452488E+08,18636298.,-10.794044,-11.299544,0.34834902,4.0364667E+10,-4.6124170E+10,-7.6190669E+09,26813.846,34566.467,365.28298,1.0349067E+11,2.9314374E+10,-5.6247170E+09,-9345.1658,33610.002,1000.3997,-1.4753674E+11,-2.9139244E+10,19568057.,5484.9270,-29295.305,0.89583833,-8.5406774E+10,2.2723777E+11,6.8320683E+09,-21794.908,-6408.8980,400.65958,
10.089063,-1.0837831E+09,8.1391471E+08,18655106.,-10.793367,-11.299521,0.34823654,4.1780207E+10,-4.4221779E+10,-7.5934433E+09,25597.450,35893.441,585.29936,1.0297029E+11,3.1124928E+10,-5.5698474E+09,-9930.0194,33445.158,1031.8866,-1.4723211E+11,-3.0719433E+10,19616378.,5798.7389,-29229.368,0.89380201,-8.6582544E+10,2.2688860E+11,6.8536109E+09,-21751.841,-6523.6580,397.19818,
10.714063,-1.0843659E+09,8.1330454E+08,18673908.,-10.792683,-11.299480,0.34812416,4.3128256E+10,-4.2248476E+10,-7.5558339E+09,24313.709,37192.257,809.19241,1.0241841E+11,3.2926306E+10,-5.5132856E+09,-10512.060,33270.128,1063.0715,-1.4691056E+11,-3.2295970E+10,19664587.,6111.7138,-29160.083,0.89170368,-8.7755973E+10,2.2653324E+11,6.8749664E+09,-21708.224,-6638.1162,393.72966,
11.339063,-1.0849487E+09,8.1269437E+08,18692703.,-10.791993,-11.299418,0.34801193,4.4405145E+10,-4.0205862E+10,-7.5060332E+09,22961.409,38459.815,1036.8201,1.0183517E+11,3.4717959E+10,-5.4550481E+09,-11091.112,33084.958,1093.9446,-1.4657213E+11,-3.3868677E+10,19712681.,6423.8164,-29087.462,0.88954363,-8.8927032E+10,2.2617171E+11,6.8961343E+09,-21664.062,-6752.2705,390.25410,
11.964063,-1.0855314E+09,8.1208420E+08,18711493.,-10.791296,-11.299336,0.34789990,4.5607140E+10,-3.8095715E+10,-7.4438439E+09,21539.390,39692.778,1268.0161,1.0122075E+11,3.6499342E+10,-5.3951521E+09,-11666.998,32889.697,1124.4967,-1.4621687E+11,-3.5437373E+10,19760657.,6735.0116,-29011.516,0.88732215,-9.0095691E+10,2.2580403E+11,6.9171145E+09,-21619.355,-6866.1190,386.77160,
12.589063,-1.0861142E+09,8.1147404E+08,18730276.,-10.790593,-11.299233,0.34778811,4.6730447E+10,-3.5919998E+10,-7.3690782E+09,20046.563,40887.550,1502.5865,1.0057533E+11,3.8269910E+10,-5.3336152E+09,-12239.545,32684.396,1154.7182,-1.4584483E+11,-3.7001879E+10,19808512.,7045.2643,-28932.259,0.88503957,-9.1261922E+10,2.2543020E+11,6.9379063E+09,-21574.106,-6979.6598,383.28226,
13.214063,-1.0866968E+09,8.1086388E+08,18749054.,-10.789884,-11.299109,0.34767664,4.7771215E+10,-3.3680876E+10,-7.2815600E+09,18481.933,42040.266,1740.3069,9.9899073E+10,4.0029123E+10,-5.2704553E+09,-12808.577,32469.111,1184.5999,-1.4545607E+11,-3.8562015E+10,19856241.,7354.5398,-28849.701,0.88269619,-9.2425695E+10,2.2505026E+11,6.9585096E+09,-21528.318,-7092.8910,379.78616,
13.839063,-1.0872795E+09,8.1025373E+08,18767826.,-10.789169,-11.298963,0.34756554,4.8725542E+10,-3.1380730E+10,-7.1811260E+09,16844.622,43146.774,1980.9184,9.9192191E+10,4.1776444E+10,-5.2056912E+09,-13373.921,32243.900,1214.1326,-1.4505063E+11,-4.0117606E+10,19903842.,7662.8035,-28763.857,0.88029235,-9.3586981E+10,2.2466420E+11,6.9789239E+09,-21481.992,-7205.8108,376.28341,
14.464063,-1.0878621E+09,8.0964359E+08,18786591.,-10.788449,-11.298794,0.34745489,4.9589483E+10,-2.9022175E+10,-7.0676277E+09,15133.904,44202.626,2224.1241,9.8454884E+10,4.3511338E+10,-5.1393420E+09,-13935.405,32008.823,1243.3070,-1.4462857E+11,-4.1668472E+10,19951312.,7970.0210,-28674.740,0.87782837,-9.4745751E+10,2.2427206E+11,6.9991489E+09,-21435.131,-7318.4171,372.77409,
15.089063,-1.0884446E+09,8.0903346E+08,18805351.,-10.787723,-11.298602,0.34734477,5.0359059E+10,-2.6608072E+10,-6.9409340E+09,13349.234,45203.059,2469.5847,9.7687364E+10,4.5233274E+10,-5.0714271E+09,-14492.856,31763.946,1272.1143,-1.4418995E+11,-4.3214439E+10,19998647.,8276.1580,-28582.362,0.87530459,-9.5901976E+10,2.2387384E+11,7.0191841E+09,-21387.736,-7430.7083,369.25829,
15.714063,-1.0890271E+09,8.0842335E+08,18824104.,-10.786991,-11.298386,0.34723526,5.1030266E+10,-2.4141548E+10,-6.8009333E+09,11490.288,46142.990,2716.9148,9.6889854E+10,4.6941724E+10,-5.0019667E+09,-15046.104,31509.333,1300.5455,-1.4373483E+11,-4.4755330E+10,20045844.,8581.1806,-28486.740,0.87272134,-9.7055628E+10,2.2346957E+11,7.0390294E+09,-21339.810,-7542.6823,365.73610,
16.339063,-1.0896096E+09,8.0781324E+08,18842852.,-10.786255,-11.298145,0.34712646,5.1599091E+10,-2.1626016E+10,-6.6475363E+09,9557.0062,47017.006,2965.6773,9.6062585E+10,4.8636165E+10,-4.9309814E+09,-15594.979,31245.057,1328.5917,-1.4326327E+11,-4.6290970E+10,20092901.,8885.0548,-28387.885,0.87007899,-9.8206677E+10,2.2305926E+11,7.0586843E+09,-21291.356,-7654.3374,362.20763,
16.964063,-1.0901920E+09,8.0720315E+08,18861594.,-10.785515,-11.297878,0.34701847,5.2061525E+10,-1.9065187E+10,-6.4806784E+09,7549.6373,47819.358,3215.3798,9.5205799E+10,5.0316077E+10,-4.8584921E+09,-16139.313,30971.189,1356.2442,-1.4277534E+11,-4.7821186E+10,20139812.,9187.7470,-28285.814,0.86737787,-9.9355095E+10,2.2264293E+11,7.0781485E+09,-21242.374,-7765.6718,358.67295,
17.589063,-1.0907744E+09,8.0659307E+08,18880330.,-10.784770,-11.297585,0.34691140,5.2413581E+10,-1.6463093E+10,-6.3003235E+09,5468.7935,48543.962,3465.4689,9.4319744E+10,5.1980944E+10,-4.7845203E+09,-16678.937,30687.805,1383.4943,-1.4227109E+11,-4.9345803E+10,20186577.,9489.2239,-28180.542,0.86461836,-1.0050085E+11,2.2222060E+11,7.0974217E+09,-21192.868,-7876.6837,355.13216,
18.214063,-1.0913568E+09,8.0598301E+08,18899061.,-10.784021,-11.297265,0.34680538,5.2651319E+10,-1.3824105E+10,-6.1064672E+09,3315.5065,49184.404,3715.3258,9.3404680E+10,5.3630254E+10,-4.7090880E+09,-17213.685,30394.985,1410.3336,-1.4175059E+11,-5.0864651E+10,20233191.,9789.4522,-28072.083,0.86180082,-1.0164393E+11,2.2179228E+11,7.1165035E+09,-21142.839,-7987.3712,351.58536,
18.839063,-1.0919391E+09,8.0537297E+08,18917785.,-10.783269,-11.296916,0.34670054,5.2770863E+10,-1.1152945E+10,-5.8991401E+09,1091.2906,49733.948,3964.2612,9.2460875E+10,5.5263500E+10,-4.6322177E+09,-17743.392,30092.810,1436.7536,-1.4121391E+11,-5.2377556E+10,20279651.,10088.399,-27960.453,0.85892561,-1.0278428E+11,2.2135800E+11,7.1353936E+09,-21092.290,-8097.7326,348.03262,
19.464063,-1.0925214E+09,8.0476294E+08,18936504.,-10.782515,-11.296538,0.34659702,5.2768438E+10,-8.4547115E+09,-5.6784122E+09,-1201.7909,50185.560,4211.5110,9.1488604E+10,5.6880178E+10,-4.5539322E+09,-18267.895,29781.365,1462.7460,-1.4066113E+11,-5.3884348E+10,20325954.,10386.031,-27845.669,0.85599313,-1.0392190E+11,2.2091776E+11,7.1540917E+09,-21041.223,-8207.7660,344.47404,
20.089063,-1.0931036E+09,8.0415294E+08,18955218.,-10.781759,-11.296129,0.34649500,5.2640393E+10,-5.7348872E+09,-5.4443968E+09,-3561.0534,50531.931,4456.2317,9.0488154E+10,5.8479792E+10,-4.4742547E+09,-18787.030,29460.738,1488.3027,-1.4009231E+11,-5.5384857E+10,20372098.,10682.316,-27727.746,0.85300375,-1.0505674E+11,2.2047159E+11,7.1725974E+09,-20989.639,-8317.4699,340.90971,
20.714063,-1.0936858E+09,8.0354296E+08,18973926.,-10.781003,-11.295689,0.34639464,5.2383242E+10,-2.9993571E+09,-5.1972550E+09,-5983.1171,50765.522,4697.4971,8.9459819E+10,6.0061846E+10,-4.3932091E+09,-19300.636,29131.019,1513.4155,-1.3950753E+11,-5.6878915E+10,20418078.,10977.222,-27606.702,0.84995786,-1.0618878E+11,2.2001950E+11,7.1909106E+09,-20937.542,-8426.8423,337.33972,
21.339063,-1.0942680E+09,8.0293301E+08,18992628.,-10.780246,-11.295217,0.34629613,5.1993702E+10,-2.5441825E+08,-4.9372003E+09,-8463.8291,50878.608,4934.2952,8.8403901E+10,6.1625854E+10,-4.3108194E+09,-19808.553,28792.301,1538.0766,-1.3890686E+11,-5.8366352E+10,20463893.,11270.717,-27482.553,0.84685586,-1.0731799E+11,2.1956152E+11,7.2090308E+09,-20884.933,-8535.8816,333.76415,
21.964063,-1.0948501E+09,8.0232308E+08,19011326.,-10.779491,-11.294710,0.34619967,5.1468737E+10,2.4932117E+09,-4.6645031E+09,-10998.186,50863.355,5165.5266,8.7320712E+10,6.3171330E+10,-4.2271105E+09,-20310.623,28444.681,1562.2782,-1.3829038E+11,-5.9847003E+10,20509539.,11562.768,-27355.317,0.84369814,-1.0844435E+11,2.1909766E+11,7.2269578E+09,-20831.814,-8644.5860,330.18310,
22.589063,-1.0954322E+09,8.0171318E+08,19030018.,-10.778738,-11.294169,0.34610547,5.0805605E+10,5.2363906E+09,-4.3794954E+09,-13580.256,50711.890,5390.0042,8.6210572E+10,6.4697799E+10,-4.1421071E+09,-20806.689,28088.258,1586.0124,-1.3765817E+11,-6.1320700E+10,20555012.,11853.344,-27225.011,0.84048512,-1.0956783E+11,2.1862793E+11,7.2446913E+09,-20778.188,-8752.9539,326.59666,
23.493750,-1.0961699E+09,8.0094017E+08,19053703.,-10.777789,-11.293431,0.34598970,4.9763037E+10,8.6951207E+09,-4.0012055E+09,-16910.581,50312.195,5662.8350,8.4765293E+10,6.6604571E+10,-4.0325470E+09,-21426.592,27624.014,1615.4130,-1.3683439E+11,-6.3178371E+10,20612398.,12219.482,-27055.469,0.83633390,-1.1098766E+11,2.1802417E+11,7.2668902E+09,-20709.492,-8889.8244,322.04323,
24.743750,-1.0973338E+09,7.9972055E+08,19091061.,-10.776314,-11.292145,0.34581640,4.7649913E+10,1.4073426E+10,-3.3678408E+09,-22257.249,49174.208,6060.2953,8.2399506E+10,6.9547375E+10,-3.8556552E+09,-22383.872,26863.586,1660.2172,-1.3548383E+11,-6.6085551E+10,20702362.,12792.141,-26778.070,0.82960648,-1.1321839E+11,2.1705251E+11,7.3012838E+09,-20599.455,-9104.6806,314.84142,
25.993750,-1.0984976E+09,7.9850107E+08,19128400.,-10.774878,-11.290702,0.34565644,4.4956363E+10,1.9293300E+10,-2.6941797E+09,-27644.480,47367.129,6406.8006,7.9931753E+10,7.2406248E+10,-3.6740313E+09,-23314.533,26069.765,1703.0273,-1.3407177E+11,-6.8962128E+10,20791589.,13358.370,-26488.707,0.82266504,-1.1543712E+11,2.1605771E+11,7.3348984E+09,-20487.425,-9318.1619,307.61953,
27.243750,-1.0996612E+09,7.9728176E+08,19165723.,-10.773501,-11.289097,0.34551207,4.1683149E+10,2.4280001E+10,-1.9863999E+09,-32973.535,44847.244,6689.7212,7.7364973E+10,7.5177633E+10,-3.4878936E+09,-24217.401,25243.472,1743.7878,-1.3259892E+11,-7.1806818E+10,20880054.,13917.925,-26187.533,0.81551310,-1.1764365E+11,2.1503993E+11,7.3677321E+09,-20373.419,-9530.2553,300.37823,
28.493750,-1.1008246E+09,7.9606263E+08,19203031.,-10.772203,-11.287327,0.34538554,3.7842664E+10,2.8954954E+10,-1.2520590E+09,-38128.058,41588.457,6896.2515,7.4702229E+10,7.7858076E+10,-3.2974664E+09,-25091.330,24385.667,1782.4459,-1.3106600E+11,-7.4618352E+10,20967735.,14470.567,-25874.708,0.80815424,-1.1983776E+11,2.1399932E+11,7.3997827E+09,-20257.452,-9740.9477,293.11822,
30.165625,-1.1021712E+09,7.9465174E+08,19246200.,-10.770832,-11.285077,0.34526413,3.2724097E+10,3.3872146E+10,-3.8067922E+08,-43704.710,36893.618,7024.1546,7.1504561E+10,8.0842834E+10,-3.0719968E+09,-26065.337,23354.765,1824.5036,-1.2921770E+11,-7.7829699E+10,21068220.,15101.319,-25498.290,0.79938310,-1.2236167E+11,2.1276652E+11,7.4359016E+09,-20120.799,-9983.0595,284.69231,
31.934375,-1.1038113E+09,7.9293348E+08,19298768.,-10.769405,-11.282058,0.34515637,2.5605205E+10,3.8977775E+10,6.8959741E+08,-49633.040,29910.845,6997.3551,6.7448906E+10,8.4300838E+10,-2.7905254E+09,-27195.017,22046.138,1871.7330,-1.2686067E+11,-8.1676562E+10,21189118.,15856.214,-25019.351,0.78833934,-1.2541284E+11,2.1122411E+11,7.4784747E+09,-19950.857,-10275.400,274.39724,
33.184375,-1.1049743E+09,7.9171514E+08,19336042.,-10.768590,-11.279753,0.34510834,2.0053690E+10,4.1907137E+10,1.4382483E+09,-53066.984,24222.345,6847.5079,6.4470573E+10,8.6630343E+10,-2.5867032E+09,-27956.870,21084.382,1902.4972,-1.2511984E+11,-8.4359765E+10,21273826.,16382.312,-24666.323,0.78027289,-1.2756094E+11,2.1010330E+11,7.5077160E+09,-19828.037,-10480.992,267.07600,
34.434375,-1.1061373E+09,7.9049705E+08,19373313.,-10.767963,-11.277337,0.34508429,1.4171951E+10,4.4195062E+10,2.1647747E+09,-55727.804,18052.490,6587.4069,6.1411766E+10,8.8854538E+10,-2.3796824E+09,-28684.984,20096.022,1930.9494,-1.2332261E+11,-8.7004255E+10,21357654.,16900.459,-24302.425,0.77201699,-1.2969568E+11,2.0896036E+11,7.5361658E+09,-19703.335,-10685.126,259.73913,
35.684375,-1.1073002E+09,7.8927924E+08,19410581.,-10.767539,-11.274835,0.34508366,8.0485162E+09,4.5797162E+10,2.8574288E+09,-57527.491,11546.691,6220.8616,5.8276180E+10,9.0970612E+10,-2.1697148E+09,-29378.411,19082.238,1957.0510,-1.2146986E+11,-8.9608868E+10,21440579.,17410.439,-23927.841,0.76357570,-1.3181685E+11,2.0779545E+11,7.5638224E+09,-19576.766,-10887.790,252.38729,
36.934375,-1.1084631E+09,7.8806169E+08,19447851.,-10.767330,-11.272277,0.34510511,1.7795104E+09,4.6685879E+10,3.5051410E+09,-58414.597,4869.3201,5756.5845,5.5067610E+10,9.2975884E+10,-1.9570563E+09,-30036.246,18044.243,1980.7665,-1.1956248E+11,-9.2172459E+10,21522583.,17912.042,-23542.756,0.75495315,-1.3392425E+11,2.0660874E+11,7.5906842E+09,-19448.349,-11088.972,245.02112,
37.679688,-1.1091535E+09,7.8733890E+08,19469982.,-10.767309,-11.270745,0.34512746,-1.9708872E+09,4.6871137E+10,3.8643235E+09,-58503.147,893.57867,5439.8233,5.3129549E+10,9.4112993E+10,-1.8296221E+09,-30409.624,17416.979,1993.7040,-1.1840448E+11,-9.3674704E+10,21570829.,18205.815,-23309.218,0.74974936,-1.3516892E+11,2.0589387E+11,7.6062564E+09,-19371.232,-11207.718,240.64095,
38.304688,-1.1097350E+09,7.8673032E+08,19488620.,-10.767350,-11.269452,0.34515136,-5.1263602E+09,4.6829902E+10,4.1504222E+09,-58327.882,-2428.5245,5152.2753,5.1479205E+10,9.5039167E+10,-1.7216843E+09,-30713.944,16882.670,2003.9322,-1.1741476E+11,-9.4928050E+10,21611196.,18450.824,-23109.762,0.74531941,-1.3621321E+11,2.0528597E+11,7.6191518E+09,-19305.793,-11307.304,236.94875,
38.929688,-1.1103164E+09,7.8612180E+08,19507258.,-10.767444,-11.268162,0.34517955,-8.2663539E+09,4.6610399E+10,4.4205334E+09,-57930.030,-5705.5137,4847.9959,4.9812678E+10,9.5936343E+10,-1.6132107E+09,-31008.924,16342.970,2013.5475,-1.1641188E+11,-9.6170557E+10,21651324.,18693.630,-22907.783,0.74084636,-1.3725395E+11,2.0467271E+11,7.6318476E+09,-19239.900,-11406.514,233.25331,
39.554688,-1.1108979E+09,7.8551336E+08,19525899.,-10.767591,-11.266877,0.34521165,-1.1379046E+10,4.6215579E+10,4.6738140E+09,-57317.276,-8918.4264,4529.2395,4.8130475E+10,9.6804234E+10,-1.5042344E+09,-31294.468,15798.043,2022.5465,-1.1539595E+11,-9.7402090E+10,21691208.,18934.211,-22703.303,0.73633074,-1.3829112E+11,2.0405410E+11,7.6443439E+09,-19173.555,-11505.346,229.55471,
40.179688,-1.1114793E+09,7.8490498E+08,19544541.,-10.767789,-11.265600,0.34524728,-1.4453082E+10,4.5649380E+10,4.9095442E+09,-56499.266,-12049.766,4198.3208,4.6433109E+10,9.7642562E+10,-1.3947887E+09,-31570.478,15248.055,2030.9259,-1.1436708E+11,-9.8622515E+10,21730847.,19172.540,-22496.349,0.73177310,-1.3932470E+11,2.0343016E+11,7.6566403E+09,-19106.761,-11603.798,225.85304,
40.804688,-1.1120608E+09,7.8429667E+08,19563186.,-10.768035,-11.264336,0.34528608,-1.7477677E+10,4.4916640E+10,5.1271300E+09,-55487.318,-15083.724,3857.5697,4.4721097E+10,9.8451058E+10,-1.2849073E+09,-31836.864,14693.171,2038.6827,-1.1332540E+11,-9.9831698E+10,21770240.,19408.593,-22286.944,0.72717399,-1.4035466E+11,2.0280091E+11,7.6687368E+09,-19039.520,-11701.870,222.14836,
41.429688,-1.1126423E+09,7.8368843E+08,19581832.,-10.768329,-11.263085,0.34532765,-2.0442693E+10,4.4023002E+10,5.3261025E+09,-54294.106,-18006.342,3509.2894,4.2994960E+10,9.9229463E+10,-1.1746239E+09,-32093.535,14133.562,2045.8141,-1.1227104E+11,-1.0102951E+11,21809383.,19642.347,-22075.115,0.72253396,-1.4138098E+11,2.0216638E+11,7.6806331E+09,-18971.833,-11799.560,218.44077,
42.054688,-1.1132238E+09,7.8308026E+08,19600481.,-10.768668,-11.261852,0.34537164,-2.3338707E+10,4.2974810E+10,5.5061157E+09,-52933.337,-20805.607,3155.7191,4.1255227E+10,9.9977525E+10,-1.0639722E+09,-32340.405,13569.397,2052.3174,-1.1120412E+11,-1.0221581E+11,21848274.,19873.779,-21860.887,0.71785356,-1.4240362E+11,2.0152659E+11,7.6923291E+09,-18903.703,-11896.866,214.73034,
42.679688,-1.1138053E+09,7.8247215E+08,19619132.,-10.769049,-11.260637,0.34541770,-2.6157055E+10,4.1779004E+10,5.6669422E+09,-51419.435,-23471.484,2799.0018,3.9502428E+10,1.0069500E+11,-9.5298634E+08,-32577.391,13000.850,2058.1902,-1.1012477E+11,-1.0339049E+11,21886911.,20102.863,-21644.286,0.71313336,-1.4342258E+11,2.0088155E+11,7.7038247E+09,-18835.132,-11993.788,211.01716,
43.304688,-1.1143868E+09,7.8186411E+08,19637786.,-10.769471,-11.259442,0.34546549,-2.8889867E+10,4.0443011E+10,5.8084668E+09,-49767.237,-25995.902,2441.1581,3.7737100E+10,1.0138167E+11,-8.4170031E+08,-32804.411,12428.094,2063.4302,-1.0903311E+11,-1.0455340E+11,21925292.,20329.578,-21425.337,0.70837390,-1.4443783E+11,2.0023129E+11,7.7151198E+09,-18766.121,-12090.323,207.30129,
